event_id,name
749973298425444,HCMC CLUB MEETING 1/12/15
635731223198422,HCMC CLUB RUN 29/11/15
1054725234546881,hcmc.rb Meetup T11
1639524949632281,HCMC AusCham Xmas Sundowners
1647784098809527,HCMC WORKSHOP: NGHỆ THUẬT VẼ MINH HỌA THỜI TRANG 28/11
923560931071519,HCMC 2015 ANNUAL DINNER DANCE AND AWARD PRESENTAION
980109532046690,HCMC Holiday Chorus performs at The Festival of Lights
553994564753217,Terry Fox Run, HCMC
1653481344921139,[HCMC + Đà Nẵng + Hà Nội] Liên hoan phim Nhật Bản 2015 "Sắc màu tình yêu"
541688985990207,HCMc - Đạp cho sướng tháng 11 / Positive Mass of November
505404526303554,HCMC WORKSHOP: "KỸ THUẬT CẮT MAY TRANG PHỤC DẠO PHỐ CƠ BẢN" 25/11
868113803286255,HCMC Pop-Up Concert: Heaton Sasaki Duo
1483086508637055,WAACKING HIPHOP POPPING class | Skarlet aka Drag AD & Black Jack & D.Arez & Amy | Ho Chi Minh city
516363538546016,Blue Venice (HC/MC) Praha + Evil Buddhist and the Cyclop Apes (SkateCore) Praha ve Fatalu !! Vstup 50,-
137020169988345,HCMC - Sản xuất phần cứng và phần mềm nhúng cho Internet of Things
1220030118104373,Christmas Charity Bazar of HCMC Consular Club
1147882738564437,HCMC WORKSHOP: "HỘI HỌA TẢ THỰC & SÁNG TẠO"
906526716092147,[VietRunners] Road to HCMC Run 2016
1060349784009934,HCMC Celebration: Groundbreaking for Clinic and Specialty Building, Opening of New Helistop
549624805200267,GOT7 Vietnam FC 2nd Offline Party in HCMC
632343673535086,LM & PSBC presents LYDMOR live in HCMC
1656348561311152,QS WORLD MBA TOUR IN HCMC
403409569850856,[OFFLINE – HCMCity] HAPPY CHANYEOL’S DAY AND WEDDING CHANBAEK’S DAY
1222058461147926,KÍCH HOẠT CƠ CHẾ NÓI TIẾNG ANH TỰ ĐỘNGBẰNG 5 BƯỚC HỌC TẬP KHOA HỌC CÙNG SMARTCOM HCMC & CHUYÊN GIA NGUYỄN ANH ĐỨC
499879156840400,"M-TP AMBITION" – CHUYẾN BAY ĐẦU TIÊN - HoChiMinh City
874835075904840,LM & PSBC present ODDISEE live in HCMC
1736114333285649,Thiên thần 0 tuổi
430795103770759,DA LOC's WINE FESTIVAL HO CHI MINH CITY
1663023173954359,Agile Tour Vietnam 2015 - HCMC
446205618897286,Triển lãm du học QS World Grad School Tour - HCMC
932318536854763,Alex M.O.R.P.H. @ Trance Family Vietnam @ Queen Hall in Ho Chi Minh City...
856704631068589,Lễ kỷ niệm 25 năm thành lập khoa QLCN (1990-2015)
901636653224227,THÀNH PHỐ HỒ CHÍ MINH: Triển Lãm Các Trường Nội Trú và Trại Hè | HO CHI MINH CITY: Summer & Boarding School Expo
737090809728395,BRIAN TRACY LIVE IN HO CHI MINH CITY
1507447266249110,German Education Fair 2015 in Ho Chi Minh City
721108484687936,VIDEOPHILIA (and OTHER VIRAL SYNDROMES): chiếu phim và thảo luận | film screening and discussion
1136662996361958,KaleidoSoup  #01 - MEETING
1648346515421234,Stand-up comedy w/JONATHAN ATHERTON & special guests [HCMC & HN]
846947242093547,QS World Grad School Tour in HCMC
557425051079579,Meet UC Business in Ho Chi Minh City
623909384417183,Roy Wang ~ Jackson Yi The First Offline in HCMC
199849900347668,Golang Vietnam Meetup #5
492765987567572,A Tasting Party - Support HCMC’s Children’s Literacy Program
1519232068389259,Think Fast - Talk Smart Talk Show
509073795927959,DJ Snake @ Hochi Minh City in Ho Chi Minh City, Vietnam
491058557709091,DreamTrip- Ho Chi Minh City, Ha Tinh, Vietnam
1665348500389983,1ST OFFLINE FC ANDY HẢI ÂU IN HCMC
1636273333309339,World Champion Belly Dancer @ Beirut HCMC
1041025602630712,Tiëstolive @ Tiësto - Budweiser Festival in Ho Chi Minh City, Vietnam
807337756046826,Triển lãm các tác phẩm sơn mài và sơn khắc
142608832761191,ANNUAL 2NDS SALE
520105564831146,Hội thảo "SỰ KHÁC BIỆT VĂN HÓA VIỆT NAM - NHẬT BẢN TRONG GIAO TIẾP KINH DOANH"
750748281714728,Tenishia @ NYW in Ho Chi Minh City, Vietnam
451197695066678,Susana @ New Years Eve Countdown in Ho Chi Minh City, Vietnam
181005068915906,Hội nghị tham vấn Hải Quan – VTFA, các Hiệp Hội, DN khu vực TP. HCM, Bình Dương, Đồng Nai lần 2
1507873426195346,The Terry Fox Run 2015
177405102602025,David Gravell @ Queen Hall in Ho Chi Minh City, Vietnam
184444461897531,QS WORLD MBA TOUR IN HCMC
1118660994820141,Tour of Long Hau Industrial Park (south of HCMC)
125122597852220,The QS MBA Tour in HCMC
149304538761869,Kiwi Xmas Dinner HCMC (Sat 12th December 2015)
423109224551631,QS WORLD GRAD SCHOOL TOUR IN HCMC
730495743749028,Tập Chạy Dốc Chuẩn Bị Cho HCMC 2016
1233837203309392,Why ASEAN and why now? Luncheon Briefing, HCMC
1524383694550949,THE SWISS LIFE FOR OVERSEAS STUDENT
426995257494915,HCMC Fireside with Mike Cassidy, Vice President at Google
886398668123104,Supporters for Hồ Chí Minh City Open Int'l Women Football Tournament 2015 - Cổ động Giải Bóng đá nữ Quốc tế Tp.HCM Mở rộng 2015
704613419670791,Bad Neighbour Live at Saigon Ranger
985906324765664,HỘI THAO “SIM 25 NĂM – KẾT NỐI ĐỂ PHÁT TRIỂN”
1715978725289059,QS World Grad School Tour in Ho Chi Minh City
974436035949153,Postgraduate Information Night
1648464892085939,Join International Masters Fair-QS World Grad School Tour in Ho Chi Minh City.
690716074397661,Ahoy! It's a Boy! Kayla's Baby Shower
1536427273264603,Triển lãm của nhóm "Ngũ Sắc "
931770880212003,Lazy Sunday
502091833300263,I Am Not Related To Paris Hilton
1634561066796800,Kim's Friday
405987992930610,Dimitri Vegas And Like Mike @ Hypersonic in Ho Chi Minh City, Vietnam
1388442324796856,HCM - KHÓA “VMWARE DATA CENTER VIRTUALIZATION FUNDAMENTALS” MIỄN PHÍ ĐỢT 03 (22/11/2015)
411775655692658,125km Vung Tau - Vung Tau run
533714410128929,Breakfast Club HCMC - Wednesday November 18, 2015
1694036784158640,QS World Grad School Tour in Ho Chi Minh City
1666564306896462,#Operation Unite - Viet Nam, Ho Chi Minh City 2nd and 3rd October 2016
973469002664833,lamnhattruong.info@yahoo.com
1631310107158147,SAIGON TRAFFIC /// LINE UP /// MUI NE
1537877016467620,Saigon Tango Festival 2015, 2-6 December
138048423223427,Saigon Project v Lounech
182639612078173,Saigon Players' Hansel & Gretel
411662922360897,Saigon Artbook - Edition 6
192596887742760,Saigon Charity Bazaar Special Xmas!
1521719851485619,Saigon Indie Night @ SAIGON RANGER
398686067005910,Saigon Soul Pool Party | 2015-16
1642610872682544,SAIGON SUPPER CLUB
466364126896947,Saigon Climbing Team @ VietClimb Cup 2015
1706173342932599,Mundo Lingo Language Social (Saigon #3)
985219994862772,Saigon International Tattoo Convention
111872519182102,Women of Saigon
930395153664597,Saigon Cafe Anniversary Party
995025613883488,Barcamp Saigon 2015
745423882251661,MCPHS Night at Whisky Saigon with GTE(s) 5 Year Anniversary!
1162044413810114,Saigon Reggae Festival #3 - January 23rd 2016 @ Cargo
393788524162895,WELCOME TO SAIGON!
972722572770017,Saigon Warehouse Project 003
1699270880286806,SUNSET VIBES AT SAIGON OUTCAST
414057348785375,Graduation Ceremony - Saigon South campus
1052922628086084,Vietnam Swans & Saigon Gaels Family Christmas Party (and Presentation Night)!
825881260800727,TOUCH ME PARTY at LUSH SAIGON on November 7th
571688909651350,Saigon - Aaron's in Da House
940016226073543,Saigon Vietnam - 6th 200h Yoga Teacher Training
738541012946372,Saigon Flea Market tại Saigon Skatepark
687073791393597,NYE @ Saigon Street Bali
492112924325606,SIEM REAP AND SAIGON 5D4N Travel period: Nov. 28; Dec. 22, 2015
769324746530708,Saigon 1st Bouldering Competition
978023902255856,Battle Of Saigon
1629089714006339,LITTLE SAIGON, here we come!
916219201805250,android.hack.saigon 05.12.2015
755473814599301,Miss Saigon - Fall Joseph Anzalone Theatre Production
1479367552373148,Saigon Vietnam- Kids Yoga Teacher Training
719368461526737,May Saigon Band
105330416502936,L@1S Meet&Greet in SaiGon
1016313698389610,Little Saigon Tet Parade
413613492176268,SAIGON INTERNATIONAL GUITAR FESTIVAL 2015
449208315279813,Paintball Saigon Sunday MAGFED TAC CAP
1649574428587670,German Ball Saigon 2015
923272477722495,Fitnes + Saigon Express @ CK13
1633057173615681,SAIGON URBAN FLEA MARKET (NIGHT MARKET EDITION)
478185015694131,Miss Saigon
921743211214812,SALSA SUNDAY - UPRISING SAIGON
739791859460625,Shakespeare in Saigon
1100199796676321,Final flight for Miss Saigon
517006541812237,Night in Saigon 12: A New Balance
832878440162138,"OPERACION SAIGON" CNEL. SUAREZ
1651946085088278,CELEBRATE THANKSGIVING AT SAIGON CAFÉ
352365844962785,Saigon by Night (Non English Show)
665950596841543,Stand-Up Saigon Ranger #1
735077243302720,MasterChef Asia 2015
1621257701440717,Tuesday - Life Drawing Classes
311755245655422,Outcast's Outdoor cinema: La Haine (France 1995)
1632599073621622,Black Out Super Jazz Night
1519010425083454,ART DECO - Lana Del Rey Party - SaiGon
1468796560095962,Zeitgeist Zero + Saigon Blue Rain + Black Casino & the Ghost + Geeta
1024404200913038,iLL Beats Saigon presents COME TO DADDY 7 with BOTTLESMOKER (ID)
1517238981930295,SAIGON HOPE JAM vol XV "YOUR STYLE" BATTLE
1006657816062381,Chương trình Amazing Race Saigon 2015
181782878833227,[TP.HCM] Tư vấn nhóm: LĨNH VỰC PHÁT TRIỂN VÀ NGOs
576649295807118,[TP.HCM] Học bổng ASEAN INTEGRATION SCHOLARSHIP (AIS)
877417562306505,TRIỂN LÃM QUỐC TẾ VỀ MÁY MÓC, THIẾT BỊ, NGUYÊN PHỤ LIỆU VÀ SẢN PHẨM CÔNG NGHIỆP VIỆT NAM LẦN THỨ 10 TẠI TPHCM
1334681039881631,[TPHCM] Giao lưu tác giả và triển lãm ảnh: Ăn dặm không phải là cuộc chiến
1041164115934282,[Offline in TP.HCM] Mừng sinh nhật JIN & V [by BTS ZOO]
1488463164790626,RA MẮT 88 VILLA ĐẲNG CẤP VEN SÔNG SÀI GÒN NGAY LÒNG TRUNG TÂM TPHCM
436004849930354,Sinh nhật Đội Thanh niên xung kích lần thứ 5
729294240471925,NHẬN LÀM BẰNG ĐẠI HỌC TPHCM, LÀM CHỨNG CHỈ TIN HỌC, CHỨNG CHỈ ANH VĂN
947821865304797,LIÊN HOAN ÂM NHẠC CHÂU ÂU MIỄN PHÍ 2015 TẠI TPHCM
465988266906746,[TƯƠNG LAI XANH TP.HCM] BIG GAME "CYCLING AND CHALLENGING"
1654035388177889,Giải giao hữu CẦU LÔNG các đội nhóm tình nguyện TPHCM
506342142874538,giam gia 20%
197038423962760,Ngày Hội Hiến Máu Tình Nguyện - ĐH Mở TPHCM Lần 2 Năm 2015
1668763606671752,Tặng 1000 Đồng Hồ Đôi Miễn phí
910529609036509,[GSYT'15] TẮC TÍCH ... TẮC TÍCH
1059089314115526,Chung Kết Nhảy Cổ Động KV.TPHCM
1607843346160408,Ra mắt website Lê Thẩm Dương
927075350720723,Chương trình TEAM BUILDING - Chào mừng CLB Tình nguyện HOPE tròn 6 tuổi
1516517512002547,HIẾN MÁU CỨU NGƯỜI - VUI CƯỜI HẠNH PHÚC (2-3/12/2015)
1749003568652441,hợp tác chuyên ngành in ấn thiết kế đồng phục.
1645416069063738,LỄ KỶ NIỆM "60 NĂM NGÀY THÀNH LẬP TRƯỜNG ĐH NÔNG LÂM TP.HCM, 10 NĂM THÀNH LẬP BỘ MÔN CÔNG NGHỆ HÓA HỌC, CHÀO MỪNG NGÀY NHÀ GIÁO VIỆT NAM"
1643527149195696,MỞ BÁN DỰ ÁN NHÀ PHỐ LIÊN KẾ GO HOME DREAM KHU VỰC BÌNH TÂN
441028849432114,HO CHI MINH 4 HARI 3 MALAM
1645651059017140,Unternehmerkreis in Ho Chi Minh City
475090992616222,Ho Chi Minh City Trip 2015
641561649280745,Dreamtrips Ho Chi Minh city, Vietnam 27-30 Nov 2015
899315940118243,Ấm Áp Đêm Sài Gòn
917721075007526,sai gon
1052151534809365,[ ĐÊM NHẠC TỪ THIỆN ] - "CHẤT SÀI GÒN"
530966487077466,ACOUSTIC NIGHT 2.0 - "SÀI GÒN TRONG TÔI"
1673153072897440,Đêm Nhớ Về Sài Gòn
170397459977822,Sài Gòn họp mặt cùng Huỳnh Ngọc Chính
929799053767763,Triển lãm tranh Sài Gòn Xưa và Nay + Giới thiệu dự án The Gold View
918811078168615,THAY ĐỔI CUỘC ĐỜI NHỜ THIỀN ĐỊNH
893606694056340,Họp mặt cựu sinh viên trường Cao Đẵng Công Nghệ TPHCM
1733682646859766,CUỘC THI REACH THE TOP
931046223653785,***BỖNG NHIÊN GIỎI TIẾNG ANH BẰNG THIỀN***
944752558928290,ĐÁNH THỨC CON NGƯỜI PHI THƯỜNG TRONG BẠN
913224282097618,25.000 người VÂY BẮT QUỶ DỮ ở SVĐ Thống Nhất - TPHCM
994105733994799,Cà phê Sáng Phi Lợi Nhuận "Phát triển cộng đồng và các hoạt động tại TP.HCM"
467760970075640,ĐÁNH THỨC CON NGƯỜI PHI THƯỜNG TRONG BẠN BẰNG THIỀN
1669437033340250,★ BÍ MẬT THIỀN ỨNG DỤNG ★
537888643030709,Giải bóng đá Hội đồng hương Nghĩa Trung tại Tp.HCM, lần 6 - 2016
1233042353454614,chương trình Đo Mắt Miễn Phí
1226313327396867,TUẦN LỄ PHIM MỸ LATINH TẠI TPHCM
1212368625446112,TUYỂN THÀNH VIÊN – TÌM KIẾM CHIẾN BINH X
991726190899697,Giảm đến 30% chi phí điều trị tại Nha Khoa 3T
1050129005007402,MINI PARTY HAPPY 24TH BIRTHDAY WITH PARK CHANYEOL
537514949731000,ANNE PACEO YÔKAÏ
423159877876048,HỌP MẶT TNXP TRƯỜNG 1 TẠI TP.HCM LẦN III
505632049618301,Naruto
980751665296335,Hội thảo Hỗ trợ Đổi mới Công nghệ cho Doanh nghiệp
743012149176424,Khóa Thi Bằng Lái Xe Ôtô Số Tự Đông Hạng B1
321142341389788,CUỘC THI ẢNH "WE ARE TWENTY" (TP.HCM)
677952745575695,Mua thảm cũ, bán thảm cũ, thanh lý thảm cũ, tại TP.HCM
367323636758059,NHẬN LÀM ĐỒ ÁN XÂY DỰNG TRỌN GÓI - CÙNG NGHỀ XÂY DỰNG CHIA SẼ VIDEO BẢO VỆ ĐỒ ÁN TỐT NGHIỆP XÂY DỰNG ĐH. KIẾN TRÚC TP.HCM - LÀM THUÊ ĐỒ ÁN TỐT NGHIỆP KỸ SƯ XÂY DỰNG DÂN DỤNG & ĐỒ ÁN MÔN HỌC CHUYÊN NGÀNH XÂY DỰNG
